SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1641726,0042300315,2024-05-30,DAL @ MIN,W,25,3,3,1.0,0,0,0.0,3,6,0.5,1,7,8,3,0,3,1,3,9,-1,1
42023,1641726,0042300313,2024-05-26,DAL vs. MIN,W,9,3,3,1.0,0,0,0.0,0,0,0.0,2,1,3,2,0,1,0,2,6,1,1
42023,1641726,0042300312,2024-05-24,DAL @ MIN,W,27,6,6,1.0,0,0,0.0,2,2,1.0,3,6,9,2,0,0,0,3,14,2,1
42023,1641726,0042300311,2024-05-22,DAL @ MIN,W,27,4,4,1.0,0,0,0.0,1,1,1.0,4,7,11,3,0,2,1,1,9,19,1
42023,1641726,0042300226,2024-05-18,DAL vs. OKC,W,30,5,6,0.833,0,0,0.0,2,3,0.667,4,11,15,3,1,1,2,4,12,26,1
42023,1641726,0042300225,2024-05-15,DAL @ OKC,W,23,3,4,0.75,0,0,0.0,5,6,0.833,3,7,10,1,1,1,3,3,11,22,1
42023,1641726,0042300224,2024-05-13,DAL vs. OKC,L,25,3,7,0.429,0,0,0.0,1,3,0.333,4,2,6,2,0,4,0,0,7,2,1
42023,1641726,0042300223,2024-05-11,DAL vs. OKC,W,27,2,7,0.286,0,0,0.0,8,12,0.667,3,5,8,1,0,0,1,3,12,16,1
42023,1641726,0042300222,2024-05-09,DAL @ OKC,W,20,1,7,0.143,0,0,0.0,0,0,0.0,2,2,4,1,0,1,1,2,2,18,1
42023,1641726,0042300221,2024-05-07,DAL @ OKC,L,13,1,3,0.333,0,0,0.0,0,0,0.0,3,1,4,1,0,0,2,3,2,-13,1
42023,1641726,0042300176,2024-05-03,DAL vs. LAC,W,24,3,3,1.0,0,0,0.0,4,8,0.5,5,4,9,3,1,0,0,4,10,-2,1
42023,1641726,0042300175,2024-05-01,DAL @ LAC,W,25,5,5,1.0,0,0,0.0,2,2,1.0,2,5,7,1,0,1,2,4,12,24,1
42023,1641726,0042300174,2024-04-28,DAL vs. LAC,L,18,4,4,1.0,0,0,0.0,0,1,0.0,2,4,6,1,1,0,1,1,8,4,1
42023,1641726,0042300173,2024-04-26,DAL vs. LAC,W,15,6,8,0.75,0,0,0.0,1,2,0.5,0,2,2,0,0,2,1,2,13,5,1
42023,1641726,0042300172,2024-04-23,DAL @ LAC,W,21,2,5,0.4,0,0,0.0,3,6,0.5,2,7,9,1,1,0,1,2,7,4,1
42023,1641726,0042300171,2024-04-21,DAL @ LAC,L,19,1,3,0.333,0,0,0.0,1,2,0.5,1,3,4,0,0,3,0,0,3,-19,1
22023,1641726,0022301083,2024-03-31,DAL @ HOU,W,13,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,2,0,1,2,24,1
22023,1641726,0022301073,2024-03-29,DAL @ SAC,W,24,5,7,0.714,0,0,0.0,2,4,0.5,3,6,9,2,0,1,0,1,12,-1,1
22023,1641726,0022301047,2024-03-26,DAL @ SAC,W,22,2,5,0.4,0,0,0.0,0,0,0.0,0,7,7,1,1,2,0,1,4,10,1
22023,1641726,0022301041,2024-03-25,DAL @ UTA,W,18,3,3,1.0,0,0,0.0,0,0,0.0,0,9,9,0,1,0,0,1,6,-3,1
22023,1641726,0022301008,2024-03-21,DAL vs. UTA,W,15,3,5,0.6,0,0,0.0,0,2,0.0,3,2,5,1,0,0,1,0,6,-17,1
22023,1641726,0022300994,2024-03-19,DAL @ SAS,W,16,5,7,0.714,0,0,0.0,2,2,1.0,1,4,5,1,0,1,0,3,12,-4,1
22023,1641726,0022300978,2024-03-17,DAL vs. DEN,W,23,7,8,0.875,0,0,0.0,0,3,0.0,4,4,8,0,0,2,3,3,14,-18,1
22023,1641726,0022300959,2024-03-14,DAL @ OKC,L,14,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,2,4,-2,1
22023,1641726,0022300952,2024-03-13,DAL vs. GSW,W,20,6,8,0.75,0,0,0.0,0,0,0.0,1,7,8,0,0,2,1,0,12,8,1
22023,1641726,0022300935,2024-03-11,DAL @ CHI,W,20,11,12,0.917,0,0,0.0,0,0,0.0,2,5,7,3,2,2,1,3,22,22,1
22023,1641726,0022300904,2024-03-07,DAL vs. MIA,W,23,2,3,0.667,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,4,4,17,1
22023,1641726,0022300892,2024-03-05,DAL vs. IND,L,16,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,3,0,-8,1
22023,1641726,0022300871,2024-03-03,DAL vs. PHI,L,18,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,0,0,1,1,5,4,-7,1
22023,1641726,0022300859,2024-03-01,DAL @ BOS,L,23,7,7,1.0,0,0,0.0,1,2,0.5,2,2,4,1,2,1,0,0,15,-15,1
22023,1641726,0022300844,2024-02-28,DAL @ TOR,W,23,4,4,1.0,0,0,0.0,1,2,0.5,1,3,4,1,2,5,0,1,9,0,1
22023,1641726,0022300832,2024-02-27,DAL @ CLE,L,22,4,4,1.0,0,0,0.0,1,4,0.25,2,4,6,0,0,2,0,1,9,-5,1
22023,1641726,0022300819,2024-02-25,DAL @ IND,L,14,2,3,0.667,0,0,0.0,0,1,0.0,1,2,3,0,4,0,0,3,4,9,1
22023,1641726,0022300796,2024-02-22,DAL vs. PHX,W,16,2,3,0.667,0,0,0.0,1,2,0.5,3,1,4,1,0,2,0,1,5,-3,1
